,Unnamed: 0,4-block polymer,Electronic Dielectric Constant,Ionic Dielectric Constant,Total Dielectric Constant,HSE Band Gap (eV),SMILES,ExactMolWt,FpDensityMorgan1,FpDensityMorgan2,FpDensityMorgan3,HeavyAtomMolWt,MaxAbsPartialCharge,MaxPartialCharge,MinAbsPartialCharge,MinPartialCharge,MolWt,NumValenceElectrons,Asphericity,Eccentricity,InertialShapeFactor,NPR1,NPR2,PMI1,PMI2,PMI3,RadiusOfGyration,SpherocityIndex
245,245,NH-CS-CO-O,3.505,1.506,5.011,2.218,NC(=S)C(=O)O,104.988449336,1.8333333333333333,2.0,2.0,102.094,0.4759467536966337,0.36267304502557374,0.36267304502557374,-0.4759467536966337,105.11799999999998,34.0,0.32467631353090304,0.9359939466402181,0.006914889026809543,0.32915450168047083,0.647848126624865,94.2696370499604,192.77675514586542,289.63153116110107,1.695561226820252,1.8121319824033346e-09
246,246,CH2-CS-NH-CS,3.818,1.679,5.497,1.85,CC(=S)NC(=S),118.98634116,1.8333333333333333,2.3333333333333335,2.3333333333333335,114.174,0.3473870962456334,0.07670331230195714,0.07670331230195714,-0.3473870962456334,119.214,34.0,0.4131905339449963,0.9924877060259593,0.015351509971927075,0.29384775020423576,0.853461463401231,60.83653795814366,377.6563593826183,454.72198959619374,1.9683616951971028,0.08204541757515282
247,247,C6H4-C6H4-C4H2S-O,4.239,0.343,4.582,2.516,C1=CC=CC=C1C1=CC=CC=C1C1=CSC=C1O,252.060886004,0.6666666666666666,1.3333333333333333,2.0,240.24199999999996,0.5064318828554639,0.13359921855373635,0.13359921855373635,-0.5064318828554639,252.338,88.0,0.12759541971178565,0.8253421576263061,0.0006115646458575445,0.5725526376582732,0.6022416922297147,1014.3684045446518,1103.0762428458625,1739.3320187508518,2.8113231759341555,0.2641616416329829
248,248,CH2-CO-C4H2S-CO,3.22,0.728,3.947,3.342,CC(=O)C1=CSC=C1C(=O),154.008850432,1.6,2.3,2.7,148.14199999999997,0.29783836729561114,0.16085918215232503,0.16085918215232503,-0.29783836729561114,154.19,52.0,0.3017069673449312,0.8865791564499839,0.002454962796308265,0.37102974606980266,0.6157826950609948,274.78532377540034,392.59980160310437,725.7064756648388,2.1664866266508103,1.4847415580083208e-09
249,249,CH2-NH-CO-C4H2S,3.185,0.607,3.791,4.027,CNC(=O)C1=CSC=C1,141.024834844,1.7777777777777777,2.5555555555555554,3.0,134.13899999999998,0.3550866081611937,0.251365587943273,0.251365587943273,-0.3550866081611937,141.195,48.0,0.6201433827524934,0.9873143905590265,0.008322990386724013,0.14771457313890646,0.8518317689453885,109.46108687007928,577.8174569852924,678.0507305651137,2.271981595761612,7.201664262464036e-08
250,250,CH2-C6H4-C6H4-CS,3.88,0.226,4.106,2.574,CC1=CC=CC=C1C1=CC=CC=C1C(=S),212.065971384,0.8666666666666667,1.4666666666666666,2.1333333333333333,200.22099999999998,0.08805674863713323,0.009230313687756005,0.009230313687756005,-0.08805674863713323,212.317,74.0,0.2380926643382879,0.9162705710344581,0.0012586028198516242,0.45585907646125395,0.6744009517464916,564.4085951573421,921.961939856637,1450.5641498992263,2.7565908253397313,0.22420146947696118
251,251,CH2-C6H4-NH-C4H2S,3.313,0.409,3.722,3.559,CC1=CC=CC=C1NC1=CSC=C1,189.061220352,1.1538461538461537,2.0,2.6923076923076925,178.19499999999996,0.3546316709740845,0.049243885103975434,0.049243885103975434,-0.3546316709740845,189.28300000000002,66.0,0.5623047795576966,0.9851104432501198,0.003934215841211857,0.15941008146962868,0.840646785578286,238.81971378099422,1205.5207699865075,1408.501280702657,2.8085941152668426,3.0765614577549386e-10
252,252,C6H4-C4H2S-C6H4-CS,4.867,0.521,5.387,1.975,C1=CC=CC=C1C1=CSC=C1C1=CC=CC=C1C(=S),280.038042384,0.7368421052631579,1.4210526315789473,2.210526315789474,268.3209999999999,0.15111021237036124,0.009230996755512737,0.009230996755512737,-0.15111021237036124,280.417,92.0,0.18748856581956225,0.6663480033823652,0.0005827073160618962,0.5596852873501434,0.7062551404371226,1250.0346304238267,1565.5498655406946,2356.938961793553,3.048659536164383,0.39507709012428444
253,253,CH2-C6H4-CS-C4H2S,3.504,0.318,3.822,2.556,CC1=CC=CC=C1C(=S)C1=CSC=C1,218.02239232,1.2142857142857142,2.0,2.642857142857143,208.26599999999996,0.15175141584794605,0.053235819277854875,0.053235819277854875,-0.15175141584794605,218.346,70.0,0.35611970222263367,0.9491932066600536,0.0019359138390343778,0.3076315424726209,0.8974972383669283,479.92962845052244,1226.9591755692084,1372.5363676824666,2.71789391186972,0.30188972634138267
254,254,C6H4-C4H2S-CS-C4H2S,6.61,0.577,7.187,1.26,C1=CC=CC=C1C1=CSC=C1C(=S)C1=CSC=C1,285.99446331999997,0.8888888888888888,1.7222222222222223,2.4444444444444446,276.366,0.15175141031883646,0.0544306233755592,0.0544306233755592,-0.15175141031883646,286.44599999999997,88.0,0.11711937234777194,0.9274592146433248,0.0005858403423083813,0.5427239153713075,0.7544672227302867,1236.2085480520404,1575.7942258028104,2242.570165201746,3.1121029155143116,0.3067986464320086
255,255,C4H2S-O-CS-O,3.315,0.628,3.943,3.132,C1=CSC=C1OC(=S)O,159.965271368,1.7777777777777777,2.5555555555555554,3.0,156.18699999999998,0.47210461944924464,0.35485414383707536,0.35485414383707536,-0.47210461944924464,160.219,48.0,0.5687058427106363,0.9851360800878515,0.006164897836040868,0.1829358414627102,0.9529592474457803,121.58109739168874,732.9229628595905,791.5878602958715,2.2622285369100776,0.2413717954437856
256,256,CH2-CS-NH-O,3.243,1.015,4.258,4.301,CC(=S)NO,91.00918478,2.0,2.2,2.2,86.095,0.2906198921439657,0.09703625582552738,0.09703625582552738,-0.2906198921439657,91.13499999999999,30.0,0.5117563568788666,0.97920793622847,0.017683789515564055,0.20428757054931357,0.7960477296165749,75.17567495417886,124.75180782814091,224.52644375100988,1.6253961722711683,3.301076392527323e-10
257,257,CH2-C6H4-CH2-C4H2S,3.101,0.091,3.192,4.155,CC1=CC=CC=C1CC1=CSC=C1,188.065971384,1.1538461538461537,2.0,2.6923076923076925,176.19899999999996,0.15214318489917664,-0.0014906676784564234,0.0014906676784564234,-0.15214318489917664,188.29500000000002,66.0,0.4541474523441591,0.9704287644324314,0.0033799331205058127,0.22449497925657305,0.9134932387804433,260.4718108305623,1166.0944248823407,1134.3152812656895,2.66061567329322,0.1995941610665494
258,258,CO-O-CS-O,2.654,1.104,3.758,4.009,C(=O)OC(=S)O,105.97246492400001,2.0,2.5,2.5,104.08599999999998,0.47205392608215346,0.3569475490713458,0.3569475490713458,-0.47205392608215346,106.10199999999999,34.0,0.24810819716661342,0.92832425242796,0.006150515567579548,0.3769844434482009,0.8573288129028026,100.48742858726794,210.42869131899403,259.29383212093995,1.6425892412010894,0.3992236378144926
259,259,NH-C6H4-O-C6H4,3.399,0.66,4.059,3.433,NC1=CC=CC=C1OC1=CC=CC=C1,185.084063972,0.7857142857142857,1.4285714285714286,2.142857142857143,174.13799999999995,0.45521090252605595,0.14979608801531208,0.14979608801531208,-0.45521090252605595,185.22600000000003,70.0,0.5053534708353462,0.980227269222156,0.0033932963508978564,0.1966066590764096,0.8103521570478394,228.3163968203084,1101.2507362638412,1179.1200803038116,2.716702534824413,0.19125282815587494
260,260,CH2-C6H4-CO-C6H4,3.329,0.359,3.688,4.044,CC1=CC=CC=C1C(=O)C1=CC=CC=C1,196.088815004,0.8666666666666667,1.4666666666666666,2.1333333333333333,184.15299999999996,0.28860494148678917,0.19278667287527262,0.19278667287527262,-0.28860494148678917,196.24900000000002,74.0,0.502267599828861,0.9688159835655399,0.002577968777027139,0.2711231526196257,0.7852171789912472,325.1213827087174,1085.341695897629,1228.3888033655298,2.6649530660740077,0.15982676135724377
261,261,NH-CO-O-CO,2.656,1.913,4.569,5.306,NC(=O)OC(=O),89.011292956,1.8333333333333333,2.3333333333333335,2.3333333333333335,86.026,0.4115714619214155,0.4115714619214155,0.3789006588150252,-0.3789006588150252,89.05,34.0,0.45705485070952323,0.9719103337513516,0.014619756919193705,0.24422782953675767,0.7538630305074931,50.969594957729164,155.64673707326685,212.82709370883305,1.5652887975994558,2.4893888996213956e-12
262,262,CO-C4H2S-CS-C4H2S,4.812,0.966,5.779,1.727,C(=O)C1=CSC=C1C(=S)C1=CSC=C1,237.958077812,1.2857142857142858,2.142857142857143,2.7857142857142856,232.30999999999997,0.29783975166265525,0.15104373469461024,0.15104373469461024,-0.29783975166265525,238.358,70.0,0.23735039213699674,0.9233013880379015,0.001510130821145289,0.31840281884768284,0.8641256424425685,659.021000101272,1389.498309397655,1543.7344753938637,2.8277407362290945,0.2823675862699431
263,263,CH2-CS-O-CS,3.424,0.466,3.89,3.032,CC(=S)OC(=S),119.970356748,1.8333333333333333,2.3333333333333335,2.3333333333333335,116.166,0.44682205806728914,0.1640980513341913,0.1640980513341913,-0.44682205806728914,120.19799999999998,34.0,0.35020669718273423,0.9701363064456745,0.010050939829914462,0.25901240329985376,0.902485223198186,118.61224686241887,382.49449427367034,335.5384057449011,2.034428659152641,0.07837001528830582
264,264,C4H2S-CS-C4H2S-O,3.873,0.639,4.512,2.33,C1=CSC=C1C(=S)C1=CSC=C1O,225.958077812,1.2307692307692308,2.076923076923077,2.6153846153846154,220.29899999999998,0.506400175361874,0.1344518809810617,0.1344518809810617,-0.506400175361874,226.347,66.0,0.3503187854625209,0.9358899439145625,0.0016942142437168888,0.3092789817908534,0.8923274118129324,482.60168734857956,1330.3677021839771,1560.7817081832864,2.7460798194473037,0.2499101974197535
265,265,CO-C4H2S-O-C4H2S,3.64,0.755,4.395,2.928,C(=O)C1=CSC=C1OC1=CSC=C1,209.980921432,1.2307692307692308,2.1538461538461537,2.8461538461538463,204.23099999999997,0.45486679946298925,0.1541483515927099,0.1541483515927099,-0.45486679946298925,210.279,66.0,0.3963327597710884,0.9719120741590768,0.002058150151316664,0.27172623100547727,0.9314854971908275,300.00670314477657,1279.4713857199752,1463.3297364261964,2.836275461096984,0.19888126510422297
266,266,C6H4-CS-C6H4-O,3.698,0.667,4.364,2.21,C1=CC=CC=C1C(=S)C1=CC=CC=C1O,214.04523594,0.8666666666666667,1.4666666666666666,2.1333333333333333,204.20899999999995,0.5072795903220498,0.12377110739218145,0.12377110739218145,-0.5072795903220498,214.28900000000002,74.0,0.3040149204564789,0.9454603927948153,0.0017292049385486921,0.3542373478166445,0.8099222955474629,485.97618161086285,1211.8294347596016,1365.8099165027809,2.758735782736061,0.31200906936789125
267,267,NH-O-C6H4-O,3.253,0.649,3.902,4.134,NOC1=CC=CC=C1O,125.047678464,1.3333333333333333,2.0,2.4444444444444446,118.07099999999997,0.50418831978924,0.18787099425965306,0.18787099425965306,-0.50418831978924,125.12699999999997,48.0,0.35132249922883324,0.9320866224538944,0.005053126587383699,0.3664601757204712,0.6358888642645992,166.1452454662342,283.69192079502574,450.3159392249214,1.9132166724359834,1.487540324606874e-11
268,268,CH2-CO-CH2-C6H4,2.888,0.631,3.518,3.997,CC(=O)CC1=CC=CC=C1,134.07316494,1.3,1.9,2.4,124.09799999999997,0.29965579580251406,0.13369579770425558,0.13369579770425558,-0.29965579580251406,134.17799999999997,52.0,0.5109488797535809,0.9741699556984442,0.008305836780308069,0.21296807320450248,0.9651326487210609,113.82053695677233,542.936806524236,567.4961616729837,2.2514114337422737,0.19446445666560858
269,269,CH2-NH-O-CS,3.175,0.392,3.568,3.849,CNOC(=S),91.00918478,2.0,2.6,2.6,86.095,0.40517887111986894,0.1737761587471252,0.1737761587471252,-0.40517887111986894,91.135,30.0,0.42949170998606007,0.9907627339737092,0.02081568212118385,0.07592764426609575,0.8572916598740521,36.326984338477274,131.86757312810212,206.47798953592684,1.7052611806417826,0.1395465625439794
270,270,CH2-NH-C4H2S-O,3.147,0.756,3.903,3.722,CNC1=CSC=C1O,129.024834844,1.625,2.375,2.625,122.12799999999999,0.5049052822367672,0.14884802369393332,0.14884802369393332,-0.5049052822367672,129.184,44.0,0.29528728037174307,0.9267750828930429,0.003637865103114701,0.3748379379398961,0.6190643970819661,171.9146563509958,280.9464680552374,452.49158061737774,1.9321511242249014,6.425074981090814e-11
271,271,CH2-CS-C4H2S-CS,5.645,0.396,6.041,1.835,CC(=S)C1=CSC=C1C(=S),185.963163192,1.6,2.3,2.7,180.278,0.1510840900715539,0.02077307875988,0.02077307875988,-0.1510840900715539,186.326,52.0,0.16586016285875416,0.8424270628160289,0.001351326244984575,0.5421006751782156,0.6240292187385905,413.181274230376,579.2669520467201,965.8893128404565,2.3520311092926582,0.2817718403546744
272,272,CO-C6H4-CO-CS,3.743,0.597,4.34,1.976,C(=O)C1=CC=CC=C1C(=O)C(=S),178.008850432,1.3333333333333333,2.0,2.5833333333333335,172.164,0.2978701921449557,0.1967255698477712,0.1967255698477712,-0.2978701921449557,178.212,60.0,0.34645247832878306,0.9426941227008417,0.0026436184444458733,0.3293176913228889,0.6403070740294223,373.55844426648304,803.9469666543777,1057.5869052322334,2.447561431882301,4.729607561659411e-11
273,273,CH2-CH2-CH2-CO,2.543,0.69,3.233,5.321,CCCC(=O),72.057514876,1.8,2.4,2.4,64.04299999999999,0.30340309725779463,0.11947978113414225,0.11947978113414225,-0.30340309725779463,72.107,30.0,0.40217673098590173,0.9765338107459506,0.017637900398973384,0.3853004508351501,0.7306368398139151,32.438162692878905,102.48501266703676,155.91355332682855,1.426461372331719,0.24598424676843064
274,274,CH2-CO-C6H4-C6H4,3.33,0.329,3.658,3.369,CC(=O)C1=CC=CC=C1C1=CC=CC=C1,196.088815004,0.8666666666666667,1.4666666666666666,2.1333333333333333,184.15299999999996,0.2944880520325295,0.15992343559399042,0.15992343559399042,-0.2944880520325295,196.249,74.0,0.3027455097521048,0.9402236405685925,0.0017677940626056716,0.342476193275497,0.7343797768076066,414.3540583165963,915.9814447816057,1220.1409357358166,2.6095803519960903,0.11641420024215195
275,275,CH2-CH2-CS-O,3.022,0.375,3.397,3.768,CCC(=S)O,90.013935812,2.0,2.2,2.2,84.09899999999999,0.5019569109829733,0.15568681078954988,0.15568681078954988,-0.5019569109829733,90.14699999999998,30.0,0.33115346441871507,0.9516876655782166,0.011986246466848776,0.31875194234673,0.5644759221793734,61.80518682169582,149.53951557841964,193.04548443894393,1.5032559363637978,1.5287974993250357e-09
276,276,NH-C4H2S-CS-C6H4,4.698,1.268,5.966,1.895,NC1=CSC=C1C(=S)C1=CC=CC=C1,219.017641288,1.1428571428571428,1.8571428571428572,2.4285714285714284,210.26199999999997,0.39752660788898625,0.05504242764221698,0.05504242764221698,-0.39752660788898625,219.334,70.0,0.3061429041867406,0.9372908596624299,0.0016145979408976729,0.3038706367442204,0.9031202591004336,493.27376224600346,1283.9934232315197,1380.4104687901372,2.774848040627438,0.24439539292819346
277,277,CH2-NH-O-C4H2S,3.18,0.337,3.517,4.134,CNOC1=CSC=C1,129.024834844,1.75,2.625,3.125,122.12799999999999,0.40814743826703825,0.1572924673415229,0.1572924673415229,-0.40814743826703825,129.184,44.0,0.46552061284963425,0.9722718713101695,0.008211546052329368,0.19621705251474894,0.9140191176990391,85.45340190972038,412.0289519541646,506.07068576515786,2.032288993065785,0.08527741358205665
278,278,C6H4-C6H4-C6H4-O,3.369,0.232,3.601,3.592,C1=CC=CC=C1C1=CC=CC=C1C1=CC=CC=C1O,246.104465068,0.47368421052631576,1.0,1.6842105263157894,232.19699999999995,0.5073111340592973,0.12292075819331984,0.12292075819331984,-0.5073111340592973,246.309,92.0,0.14707140146291878,0.8278874905874273,0.0006496268866526729,0.5565574624780756,0.6109053223590216,971.617154663479,1038.6953379980882,1733.255594604499,2.7878894393917073,0.21845759449161278
279,279,NH-C6H4-CO-CS,4.18,0.96,5.141,2.111,NC1=CC=CC=C1C(=O)C(=S),165.024834844,1.4545454545454546,2.090909090909091,2.6363636363636362,158.16099999999997,0.39812888687061215,0.19807417619377168,0.19807417619377168,-0.39812888687061215,165.217,56.0,0.30112049670426877,0.9391447904881617,0.004056633273890657,0.3657059240682447,0.6583866748794048,198.33551528776658,514.6655584469354,843.5505377311513,2.5146282779905573,8.37098524415205e-11
280,280,CH2-CH2-C6H4-C6H4,3.296,0.071,3.367,3.857,CCC1=CC=CC=C1C1=CC=CC=C1,182.109550448,0.7857142857142857,1.4285714285714286,2.142857142857143,168.15399999999997,0.062225392284442654,-0.01520287183526643,0.01520287183526643,-0.062225392284442654,182.266,70.0,0.37919578807966914,0.959549497921563,0.0028396342414703005,0.2831642196916874,0.830605055725442,305.6905551933389,845.878269941214,1088.7300534327358,2.5961637217022946,0.14563604603926367
281,281,CH2-CS-CH2-CS,3.485,0.232,3.718,2.708,CC(=S)CC(=S),117.991092192,1.8333333333333333,2.3333333333333335,2.3333333333333335,112.178,0.0930985336123401,0.006884959972187119,0.006884959972187119,-0.0930985336123401,118.226,34.0,0.5922956332859542,0.95961539371004,0.012671815735961059,0.2966269195878866,0.9670570529401845,60.245831424175144,315.6547675213811,358.6985811239646,1.99878993235565,0.39517740327189776
282,282,NH-C6H4-C6H4-CS,4.043,0.404,4.447,2.691,NC1=CC=CC=C1C1=CC=CC=C1C(=S),213.061220352,0.8666666666666667,1.4666666666666666,2.1333333333333333,202.21699999999996,0.39822556320468727,0.03934326408643692,0.03934326408643692,-0.39822556320468727,213.305,74.0,0.20346044658032736,0.9093710628908696,0.001320768502498748,0.40549630307447526,0.676229027726513,601.7462338836176,982.7295303321524,1402.8367248029092,2.771194186709859,0.13772543160826167
283,283,CH2-NH-O-NH,2.747,0.42,3.168,5.3,CNON,62.048012811999996,2.0,2.25,2.25,56.024,0.21726390305603502,0.011433188681317468,0.011433188681317468,-0.21726390305603502,62.071999999999996,26.0,0.5279277292266579,0.958143944776373,0.059494395743353336,0.1574461215360031,0.9438190055951037,14.54734202919363,54.2466026329828,76.18853932281016,1.1767763368990316,0.14044042110825905
