,Unnamed: 0,4-block polymer,Electronic Dielectric Constant,Ionic Dielectric Constant,Total Dielectric Constant,HSE Band Gap (eV),SMILES,ExactMolWt,FpDensityMorgan1,FpDensityMorgan2,FpDensityMorgan3,HeavyAtomMolWt,MaxAbsPartialCharge,MaxPartialCharge,MinAbsPartialCharge,MinPartialCharge,MolWt,NumValenceElectrons,Asphericity,Eccentricity,InertialShapeFactor,NPR1,NPR2,PMI1,PMI2,PMI3,RadiusOfGyration,SpherocityIndex
210,210,CH2-O-CS-O,2.982,0.871,3.854,4.104,COC(=S)O,91.993200368,2.0,2.2,2.2,88.08699999999999,0.47240778485578144,0.3489454823139267,0.3489454823139267,-0.47240778485578144,92.11899999999999,30.0,0.3457025074514732,0.9267188830579658,0.008068234735478982,0.4165721448086064,0.7122950894062411,69.19939009539911,163.9393246255331,206.0225824070335,1.5567401881899223,0.13455659137817583
211,211,NH-CO-C6H4-O,3.339,0.628,3.967,3.985,NC(=O)C1=CC=CC=C1O,137.047678464,1.4,2.0,2.4,130.082,0.5071219157350979,0.25195368365308174,0.25195368365308174,-0.5071219157350979,137.13799999999998,52.0,0.3385258789262049,0.9411543376039481,0.0036535439628052153,0.32772144457413643,0.6622297392661749,184.28490610095605,357.71553220921766,556.927338993598,2.0549403788355805,4.59153695853929e-10
212,212,C4H2S-O-C4H2S-O,3.194,0.392,3.586,4.185,C1=CSC=C1OC1=CSC=C1O,197.980921432,1.1666666666666667,2.0833333333333335,2.6666666666666665,192.21999999999997,0.5036644621355196,0.1792714085604041,0.1792714085604041,-0.5036644621355196,198.26799999999997,62.0,0.5479601381477085,0.9801903072613093,0.0033022417808258185,0.16309337380134667,0.9072076179388583,236.36739693441052,1196.1579151614824,1323.3489526475416,2.7503076562449382,0.19242401836956005
213,213,CH2-NH-CO-C6H4,3.069,0.593,3.662,4.496,CNC(=O)C1=CC=CC=C1,135.068413908,1.3,1.9,2.4,126.09399999999998,0.3551121259324622,0.25051958614056546,0.25051958614056546,-0.3551121259324622,135.16599999999997,52.0,0.5645908412273579,0.9839984646031108,0.007103914657464443,0.18087672410387018,0.8263885387426034,116.22193677295319,538.6111451449785,645.5912066826836,2.283211929122941,9.275990891852887e-11
214,214,CH2-C4H2S-O-C4H2S,3.1,0.239,3.34,4.357,CC1=CSC=C1OC1=CSC=C1,196.001656876,1.1666666666666667,2.0833333333333335,2.6666666666666665,188.23199999999997,0.45534659502340596,0.1405412339937095,0.1405412339937095,-0.45534659502340596,196.29600000000002,62.0,0.6077958275227947,0.9842197778253798,0.003994134261249347,0.17685991388034242,0.9508609493513275,255.39657964032222,1201.5306892697438,1264.343741379715,2.6309451093425347,1.492826265657487e-10
215,215,CH2-CO-O-CO,2.631,0.965,3.596,6.032,CC(=O)OC(=O),88.016043988,1.8333333333333333,2.3333333333333335,2.3333333333333335,84.03,0.39569076285437793,0.309595373958307,0.309595373958307,-0.39569076285437793,88.062,34.0,0.4392656084199653,0.9703400219480302,0.01526147251369681,0.24598854961832362,0.7582588074561797,51.69368346873048,150.4898890385421,199.70296346037367,1.5558555316704918,1.9160256132637624e-11
216,216,CH2-CO-C4H2S-C6H4,3.501,0.516,4.017,3.1,CC(=O)C1=CSC=C1C1=CC=CC=C1,202.04523594,1.1428571428571428,1.8571428571428572,2.5,192.19799999999995,0.2944559107532361,0.16076176799222536,0.16076176799222536,-0.2944559107532361,202.27800000000002,70.0,0.3151603700615494,0.9422477600307906,0.0016839538880206166,0.3341266442897399,0.7268818794194497,428.3887422287198,964.9576431580568,1284.7383367300445,2.635664503866341,0.11667268846259776
217,217,CH2-CO-C6H4-CO,3.154,0.612,3.766,3.49,CC(=O)C1=CC=CC=C1C(=O),148.052429496,1.3636363636363635,2.0,2.4545454545454546,140.09699999999998,0.2978704213379605,0.1600203496537832,0.1600203496537832,-0.2978704213379605,148.16099999999997,56.0,0.2819593377797117,0.9184677626567673,0.00227688416089472,0.48420542951965745,0.5141838115113054,321.4913759183001,357.49606426531636,685.0333121198047,2.2134835221255407,1.0044561139981178e-11
218,218,NH-C4H2S-C4H2S-O,4.052,0.813,4.865,2.012,NC1=CSC=C1C1=CSC=C1O,196.996905844,1.0,1.6666666666666667,2.1666666666666665,190.22799999999998,0.5064303683634559,0.13368501067140307,0.13368501067140307,-0.5064303683634559,197.284,62.0,0.40719313733871654,0.9683584002052293,0.002796177305762089,0.2581495924410778,0.8332576469007897,292.43801381517204,998.2710649316685,1158.095559960091,2.557961364133329,0.13322422304651152
219,219,CH2-CH2-C4H2S-C4H2S,3.408,0.129,3.538,2.79,CCC1=CSC=C1C1=CSC=C1,194.02239232,1.1666666666666667,2.0833333333333335,2.75,184.24399999999997,0.15178214657640798,-0.0011560499538797245,0.0011560499538797245,-0.15178214657640798,194.324,62.0,0.4419593587342847,0.9675471483208689,0.0027045170939056892,0.25103710008156177,0.8328239596465142,298.91169898856566,964.2897514691897,1202.2710958535965,2.570647800417587,0.1681396224079238
220,220,CH2-NH-CH2-O,2.577,0.7,3.277,6.63,CNCO,61.052763844,2.0,2.25,2.25,54.028,0.3813798785705776,0.09285824151022769,0.09285824151022769,-0.3813798785705776,61.084,26.0,0.5884347374934742,0.9620989075406204,0.08136352717730481,0.26528192797341305,0.8375298296899818,8.897621258840319,92.96628683986906,80.32203791172748,1.2148839337882937,0.04269494588169934
221,221,NH-C6H4-C6H4-C6H4,4.011,0.288,4.299,2.829,NC1=CC=CC=C1C1=CC=CC=C1C1=CC=CC=C1,245.12044948,0.47368421052631576,1.0,1.6842105263157894,230.20499999999993,0.39822556395772307,0.03934314190963815,0.03934314190963815,-0.39822556395772307,245.32500000000002,92.0,0.1528968003482367,0.7921900629507707,0.0006798007349009113,0.5913545988110225,0.614832096186209,954.4768105912142,1023.2549623081031,1627.7613443408452,2.8229026245944455,0.2258928931509316
222,222,C6H4-CS-O-CS,4.016,0.816,4.832,2.511,C1=CC=CC=C1C(=S)OC(=S),181.986006812,1.2727272727272727,1.9090909090909092,2.4545454545454546,176.22099999999998,0.44146430326861086,0.19786328726439498,0.19786328726439498,-0.44146430326861086,182.269,56.0,0.6217997236272312,0.9234617006985321,0.0024897865743342723,0.33954791968717035,0.8333550410206213,426.4814963172586,714.6272380816197,1136.95725186589,2.543859780446986,0.23464683336601638
223,223,CO-C4H2S-CS-O,3.661,1.252,4.913,2.624,C(=O)C1=CSC=C1C(=S)O,171.965271368,1.7,2.4,2.8,168.19799999999998,0.49848262663975784,0.18973502302484985,0.18973502302484985,-0.49848262663975784,172.23,52.0,0.23962186315103512,0.9201833359606444,0.002816910963495801,0.4541055216404716,0.8078091913929444,307.5139527335621,599.9654892597031,791.3553722257989,2.31348881305574,0.21722320937624656
224,224,NH-C6H4-C4H2S-C4H2S,3.944,0.317,4.262,1.803,NC1=CC=CC=C1C1=CSC=C1C1=CSC=C1,257.033291352,0.7647058823529411,1.588235294117647,2.3529411764705883,246.29499999999996,0.3982251725109331,0.03937290755506533,0.03937290755506533,-0.3982251725109331,257.383,84.0,0.1566036671978159,0.8097467306627967,0.00058080781003784,0.5344563161942217,0.6133241579153694,1051.8459934893021,1182.8592458169846,1974.7073991079194,2.8838054701486584,0.33977927252105583
