4-block polymer,Electronic Dielectric Constant,Ionic Dielectric Constant,Total Dielectric Constant,HSE Band Gap (eV)
CH2-C4H2S-CO-C4H2S,3.759,0.914,4.672,2.891
CO-C6H4-CO-O,3.139,1.342,4.480,3.676
CH2-CH2-CO-C4H2S,3.216,0.547,3.762,3.446
CH2-CO-CS-C6H4,3.708,0.498,4.205,2.526
CH2-CS-CO-O,3.064,0.829,3.893,2.388
NH-C4H2S-NH-C4H2S,3.399,0.444,3.843,3.606
C6H4-CS-C6H4-CS,3.330,0.213,3.543,2.041
CH2-C6H4-CH2-C6H4,3.120,0.087,3.207,4.782
CH2-C4H2S-O-CS,3.401,0.445,3.846,3.267
CO-C6H4-C6H4-C4H2S,4.939,0.570,5.509,1.941
CH2-CH2-NH-C4H2S,3.085,0.441,3.526,3.830
CH2-CH2-CO-O,2.521,0.572,3.092,6.838
CH2-CO-CS-C4H2S,3.732,0.625,4.357,2.385
CH2-C6H4-CH2-CS,3.193,0.217,3.410,3.078
CH2-C6H4-NH-C6H4,3.312,0.365,3.677,3.908
C6H4-C4H2S-C6H4-O,4.097,0.359,4.455,2.267
C6H4-C4H2S-O-CS,3.962,0.604,4.567,2.376
CH2-C4H2S-C4H2S-CS,4.385,0.492,4.877,1.997
CH2-CO-CH2-O,2.650,0.911,3.561,5.014
C6H4-C4H2S-C4H2S-C4H2S,7.691,0.174,7.865,1.289
CH2-C4H2S-NH-O,3.267,0.554,3.820,3.999
CH2-CO-C6H4-C4H2S,3.508,0.367,3.875,2.939
NH-CO-O-C4H2S,3.393,0.849,4.242,3.488
CH2-C4H2S-CO-O,3.092,0.710,3.802,3.913
CH2-CS-C6H4-NH,4.173,0.874,5.047,2.248
CO-O-C6H4-CS,3.480,0.736,4.216,2.526
NH-CO-C4H2S-CS,3.897,1.011,4.908,2.337
NH-CO-O-CS,3.112,2.384,5.496,2.833
CH2-NH-CS-CO,3.397,1.398,4.795,2.287
CH2-CO-C4H2S-O,3.201,0.825,4.026,3.279
CH2-CH2-C6H4-O,2.979,0.254,3.233,4.275
CH2-C6H4-CS-C6H4,3.468,0.219,3.687,2.576
CO-C6H4-CO-C6H4,3.551,0.581,4.132,3.308
CH2-C4H2S-CH2-O,3.102,0.522,3.623,2.933
CH2-NH-C4H2S-CO,3.692,0.983,4.674,2.721
CH2-NH-C6H4-NH,3.087,0.652,3.738,3.663
NH-CS-O-CS,3.697,1.133,4.830,2.999
CH2-C6H4-O-CS,3.034,0.309,3.344,3.891
NH-CS-C4H2S-O,4.189,0.948,5.137,2.443
CO-C6H4-C6H4-O,3.241,0.419,3.659,3.337
CH2-NH-CH2-C4H2S,2.945,0.486,3.431,4.236
C4H2S-CS-O-CS,4.574,0.742,5.316,1.917
CO-C4H2S-C6H4-C4H2S,5.667,0.746,6.414,1.732
CO-C4H2S-C4H2S-C4H2S,6.738,0.943,7.681,1.264
CH2-NH-CS-C4H2S,3.605,0.771,4.376,3.071
NH-O-CS-O,3.198,1.301,4.499,4.235
CH2-NH-CH2-NH,2.787,0.309,3.097,6.120
C6H4-CS-C4H2S-C4H2S,6.422,0.641,7.063,1.390
NH-CO-C6H4-CS,3.545,1.068,4.613,2.566
NH-CO-NH-CO,3.117,1.631,4.749,4.170
C4H2S-C4H2S-O-CS,4.472,0.845,5.317,2.100
NH-CS-NH-O,3.880,1.486,5.365,3.091
CO-O-C4H2S-O,3.098,0.702,3.800,3.921
CH2-O-C4H2S-O,2.893,0.590,3.483,4.494
NH-O-CO-O,2.682,1.163,3.846,5.548
CH2-CO-O-CS,2.777,0.594,3.371,3.792
CH2-O-C6H4-O,2.923,0.616,3.539,4.250
NH-C6H4-NH-O,3.302,1.019,4.321,3.651
CH2-CH2-C6H4-C4H2S,3.429,0.101,3.530,3.076
NH-C4H2S-CS-O,4.274,1.338,5.612,2.674
C6H4-C6H4-C4H2S-C4H2S,6.359,0.119,6.478,1.507
NH-C4H2S-C6H4-C4H2S,5.328,0.595,5.923,1.886
CO-C4H2S-C4H2S-O,3.780,0.962,4.742,2.423
NH-C4H2S-CO-CS,5.329,1.282,6.611,1.744
NH-C4H2S-C4H2S-C4H2S,5.757,0.572,6.328,1.754
CH2-CH2-CH2-C6H4,2.873,0.080,2.953,4.907
NH-C4H2S-O-CS,3.813,0.764,4.577,2.678
CH2-NH-CS-O,3.225,1.059,4.284,4.130
CH2-CO-O-C4H2S,3.072,0.536,3.608,4.409
CO-C6H4-CS-C6H4,3.900,0.503,4.403,1.987
NH-CS-C4H2S-CS,5.082,1.053,6.135,1.834
NH-CO-C6H4-C4H2S,3.995,0.604,4.599,2.391
NH-C4H2S-CS-C4H2S,4.816,1.028,5.844,1.966
C6H4-C4H2S-O-C4H2S,4.257,0.430,4.687,2.339
C6H4-C6H4-C6H4-CS,3.881,0.255,4.136,2.037
CH2-C4H2S-CH2-C4H2S,3.175,0.212,3.387,4.288
CO-CS-CO-O,3.618,0.878,4.496,1.798
CO-C6H4-C4H2S-C6H4,4.615,0.500,5.115,2.038
CH2-NH-CH2-C6H4,2.937,0.202,3.139,4.627
CH2-C6H4-CO-C4H2S,3.289,0.451,3.740,3.634
CH2-O-CH2-O,2.584,1.007,3.591,7.127
CO-C6H4-C4H2S-C4H2S,4.175,0.462,4.638,2.262
CH2-CO-CS-O,3.243,0.888,4.131,2.245
NH-CO-CS-O,3.567,1.247,4.814,2.466
CH2-CO-CS-CO,4.120,1.303,5.423,1.670
CH2-NH-C6H4-C4H2S,3.475,0.520,3.995,3.263
NH-CS-C6H4-CS,4.128,1.539,5.667,1.928
NH-C6H4-C6H4-CH2,3.476,0.351,3.827,3.488
NH-CO-NH-CS,3.922,3.361,7.283,2.298
NH-C4H2S-C4H2S-CS,7.078,0.995,8.073,1.681
NH-C6H4-NH-C6H4,3.877,1.028,4.904,2.518
NH-C6H4-NH-C4H2S,3.583,1.463,5.046,2.885
CH2-C6H4-C6H4-C4H2S,3.731,0.186,3.916,3.025
CH2-C4H2S-CS-C4H2S,3.779,0.376,4.155,2.348
CO-NH-CO-C6H4,3.633,2.068,5.702,2.163
CH2-CS-CO-CS,4.466,0.766,5.233,1.276
CH2-CH2-NH-CS,3.199,1.010,4.209,3.899
CH2-C4H2S-C4H2S-O,3.529,0.385,3.914,3.012
CH2-CO-NH-C4H2S,3.233,0.561,3.794,4.115
CH2-CH2-CO-CS,3.281,0.983,4.264,1.993
NH-C6H4-C6H4-C4H2S,5.067,0.434,5.501,2.023
CH2-C6H4-C4H2S-CS,3.988,0.288,4.275,2.190
C6H4-O-CS-O,3.158,0.523,3.681,4.322
CH2-O-NH-CO,2.831,1.084,3.915,5.702
NH-C6H4-C4H2S-C6H4,5.032,0.383,5.415,1.842
C6H4-O-C4H2S-O,3.006,0.345,3.351,4.310
NH-C6H4-O-C4H2S,3.305,0.472,3.777,3.555
CH2-NH-CO-CS,3.244,1.277,4.521,2.626
CH2-NH-C6H4-O,3.149,0.729,3.878,3.901
C6H4-C6H4-C6H4-C6H4,4.105,0.073,4.178,2.753
CH2-CO-NH-C6H4,3.094,0.561,3.655,4.099
CH2-CH2-CH2-CH2,2.590,0.023,2.613,8.606
NH-CO-C6H4-C6H4,4.327,0.531,4.858,2.593
NH-CO-CS-C6H4,4.076,1.028,5.104,1.989
CO-C6H4-CS-C4H2S,4.004,0.618,4.622,2.048
CH2-CO-CH2-CO,2.831,0.711,3.542,4.941
CO-O-C6H4-O,2.833,0.695,3.529,4.662
NH-CO-C4H2S-CO,3.572,1.226,4.798,3.022
CH2-C6H4-C4H2S-C4H2S,3.608,0.107,3.716,2.817
CO-C6H4-CO-C4H2S,3.571,0.713,4.284,2.889
CH2-C6H4-CO-CS,3.462,0.422,3.884,2.705
CH2-CH2-C6H4-CS,3.407,0.231,3.639,2.810
NH-C4H2S-C6H4-CS,3.892,0.457,4.349,2.524
CH2-NH-O-C6H4,3.092,0.275,3.366,4.369
CH2-C6H4-C6H4-C6H4,3.325,0.081,3.406,3.591
CH2-O-NH-O,2.834,1.392,4.226,5.688
CH2-CH2-C4H2S-CS,3.529,0.311,3.840,2.492
NH-CO-NH-C4H2S,3.670,0.872,4.541,3.321
CH2-C4H2S-CH2-CS,3.145,0.162,3.307,2.694
NH-CO-NH-O,3.147,1.250,4.397,5.137
CO-C6H4-CS-O,3.513,1.089,4.601,2.860
CH2-CH2-O-NH,2.673,0.580,3.253,6.013
CH2-CO-CH2-C4H2S,2.967,0.386,3.353,3.997
C6H4-O-C6H4-O,3.266,0.388,3.655,3.911
CH2-O-CS-O,2.982,0.871,3.854,4.104
NH-CO-C6H4-O,3.339,0.628,3.967,3.985
C4H2S-O-C4H2S-O,3.194,0.392,3.586,4.185
CH2-NH-CO-C6H4,3.069,0.593,3.662,4.496
CH2-C4H2S-O-C4H2S,3.100,0.239,3.340,4.357
CH2-CO-O-CO,2.631,0.965,3.596,6.032
CH2-CO-C4H2S-C6H4,3.501,0.516,4.017,3.100
CH2-CO-C6H4-CO,3.154,0.612,3.766,3.490
NH-C4H2S-C4H2S-O,4.052,0.813,4.865,2.012
CH2-CH2-C4H2S-C4H2S,3.408,0.129,3.538,2.790
CH2-NH-CH2-O,2.577,0.700,3.277,6.630
NH-C6H4-C6H4-C6H4,4.011,0.288,4.299,2.829
C6H4-CS-O-CS,4.016,0.816,4.832,2.511
CO-C4H2S-CS-O,3.661,1.252,4.913,2.624
NH-C6H4-C4H2S-C4H2S,3.944,0.317,4.262,1.803
CH2-CH2-CH2-NH,2.643,0.207,2.850,6.165
CH2-CO-NH-CO,2.818,1.202,4.020,4.993
NH-CS-C6H4-O,3.626,0.597,4.223,2.884
CO-C4H2S-CO-C4H2S,3.933,1.984,5.917,2.303
NH-C6H4-O-CS,3.418,0.647,4.066,3.625
CH2-C4H2S-CO-CS,3.491,0.453,3.945,2.801
CH2-CO-O-C6H4,2.781,0.466,3.247,4.907
C4H2S-C4H2S-C4H2S-C4H2S,8.798,0.229,9.027,1.023
CO-C6H4-O-C6H4,3.267,0.624,3.891,3.450
CH2-CH2-CH2-C4H2S,2.853,0.129,2.982,4.257
NH-CO-O-C6H4,3.234,1.007,4.241,3.810
CO-C4H2S-O-CS,4.444,0.928,5.372,1.996
C6H4-C4H2S-C4H2S-O,4.057,0.447,4.505,2.234
CH2-CO-C4H2S-C4H2S,3.971,0.621,4.592,2.433
CH2-CO-CH2-CS,3.003,0.597,3.600,3.159
NH-C6H4-C4H2S-CS,5.528,0.669,6.197,1.939
CH2-C4H2S-C4H2S-C4H2S,3.926,0.154,4.080,2.297
NH-C6H4-CS-O,5.334,2.608,7.942,1.401
NH-C6H4-CO-C4H2S,4.188,1.393,5.581,2.569
CO-C4H2S-CO-CS,4.481,0.964,5.445,1.535
NH-CS-CO-O,3.505,1.506,5.011,2.218
CH2-CS-NH-CS,3.818,1.679,5.497,1.850
C6H4-C6H4-C4H2S-O,4.239,0.343,4.582,2.516
CH2-CO-C4H2S-CO,3.220,0.728,3.947,3.342
CH2-NH-CO-C4H2S,3.185,0.607,3.791,4.027
CH2-C6H4-C6H4-CS,3.880,0.226,4.106,2.574
CH2-C6H4-NH-C4H2S,3.313,0.409,3.722,3.559
C6H4-C4H2S-C6H4-CS,4.867,0.521,5.387,1.975
CH2-C6H4-CS-C4H2S,3.504,0.318,3.822,2.556
C6H4-C4H2S-CS-C4H2S,6.610,0.577,7.187,1.260
C4H2S-O-CS-O,3.315,0.628,3.943,3.132
CH2-CS-NH-O,3.243,1.015,4.258,4.301
CH2-C6H4-CH2-C4H2S,3.101,0.091,3.192,4.155
CO-O-CS-O,2.654,1.104,3.758,4.009
NH-C6H4-O-C6H4,3.399,0.660,4.059,3.433
CH2-C6H4-CO-C6H4,3.329,0.359,3.688,4.044
NH-CO-O-CO,2.656,1.913,4.569,5.306
CO-C4H2S-CS-C4H2S,4.812,0.966,5.779,1.727
CH2-CS-O-CS,3.424,0.466,3.890,3.032
C4H2S-CS-C4H2S-O,3.873,0.639,4.512,2.330
CO-C4H2S-O-C4H2S,3.640,0.755,4.395,2.928
C6H4-CS-C6H4-O,3.698,0.667,4.364,2.210
NH-O-C6H4-O,3.253,0.649,3.902,4.134
CH2-CO-CH2-C6H4,2.888,0.631,3.518,3.997
CH2-NH-O-CS,3.175,0.392,3.568,3.849
CH2-NH-C4H2S-O,3.147,0.756,3.903,3.722
CH2-CS-C4H2S-CS,5.645,0.396,6.041,1.835
CO-C6H4-CO-CS,3.743,0.597,4.340,1.976
CH2-CH2-CH2-CO,2.543,0.690,3.233,5.321
CH2-CO-C6H4-C6H4,3.330,0.329,3.658,3.369
CH2-CH2-CS-O,3.022,0.375,3.397,3.768
NH-C4H2S-CS-C6H4,4.698,1.268,5.966,1.895
CH2-NH-O-C4H2S,3.180,0.337,3.517,4.134
C6H4-C6H4-C6H4-O,3.369,0.232,3.601,3.592
NH-C6H4-CO-CS,4.180,0.960,5.141,2.111
CH2-CH2-C6H4-C6H4,3.296,0.071,3.367,3.857
CH2-CS-CH2-CS,3.485,0.232,3.718,2.708
NH-C6H4-C6H4-CS,4.043,0.404,4.447,2.691
CH2-NH-O-NH,2.747,0.420,3.168,5.300
,,,,
